ご指定いただいた「読みや誤変換候補:正しい表記」のフォーマットで、タイトルなどの見出しを省き、全項目を一覧形式で出力します。

シーエートラスト, CAトラスト, しーえーとらすと:CA Trust
神楽, カグラ, kagura, かぐら:CAGRA
シーエーパス, CAパス, しーえーパス:CA PASS
ジェーループ, じぇーるーぷ:Jループ
U-CAN, ゆーきゃん:ユーキャン
KINGDOM, きんぐだむ:キングダム
CASTLE, きゃっする:キャッスル
げっぽう, 月報, ゲッポー:GEPPO
げっぽうアドミン, 月報Admin:GEPPO Admin
リスク月報, りすくげっぽう:リスクGEPPO
エムビーオー, mbo:MBO
カンパニー, かんぱにー:COMPANY
エンディ, えんでぃ:Endy
すたじおかーど:Studioカード管理システム
ジンナビ, じんなび:じんなび
パーマン, ぱーまん:PERMAN
ピーエム, PM:PM（プロジェクトマネージャ）
ピーエムオー, PMO:PMO
じんじほんぶ, にんじほんぶ:人事本部
けいえいほんぶ:経営本部
けいシス, けいえいシステムぶ:経営システム部
グループアイティー, ぐるーぷあいてぃー:グループIT
めでぃあ:メディア
エスジー, SG, えすじー:SGE
アベマ, あべま:ABEMA
アイピー, あいぴー:IP
TakeKids:Tech Kids
徳津:得津
SGE:SSG
けんむ, 兼務:兼務
けんむデータ:兼務データ
さーす, SaaS:SaaS
スキム, SCIM:SCIM
たなおろし, 棚卸し:棚卸し
きみつせい, 機密性:機密性
バイネーム, ばいねーむ:バイネーム
プロビジョニング, ぷろびじょにんぐ:プロビジョニング
デプロビジョニング, でぷろびじょにんぐ:デプロビジョニング
しゅむ, 主務:主務
しょぞくコード, しょぞくこーど:所属コード
きんたい, 勤怠, きんむじょうほう:勤務情報
けんげんかんり, あくせすけんげん:権限管理
アイディガバナンス, あいでぃがばなんす:IDガバナンス
さていシステム, さていひょうか:査定システム
リテラシー, りてらしー:リテラシー
けんしゅう, せきゅりてぃけんしゅう:セキュリティ研修
エーアイけんしゅう, えーあいけんしゅう:AI研修
倫理, 稟議:Ringy
看板:カンバン
使用書:仕様書
席分け:関脇
原石:原籍
さいぐらむ, Saigram:CyGRAM
たぶろー, Tableau:Tableau
エスピー, SP, SaaSプロバイダー:SP
じんシス, じんじシステム:人事システム
ウェブバンク, Webバンク:Webバンク
フィグマ, Figma, ふぃぐま:Figma
アドビ, Adobe, あどび:Adobe
キントーン:kintone
スノーフレイク, スノーフレーク:Snowflake
タレル, テルマ:Telma
ワンワン:1on1
ガス:GAS
